id,n_explotacion,cuenta,superficie,superficie_bpa,tecnificacion,sistematizacion_con_terrazas,rotacion_gramineas_y_cultivos_de_servicios,pasturas_implantadas,participacion_grupos_asociativos,nutricion_de_suelos,manejo_cultivos_intensivos,certificaciones,capacitacion,ag_tech,plan_pecuario,manejo_ganaderia_integrada,indic_agro,gestion_de_riesgo,eje_persona,eje_planeta,eje_prosperidad,total
bpa2019.6424,la juanita,150126093600,179.58,79,,,,si,si,si,,,,,si,,,,si,si,no,4
bpa2019.6425,YACIRETA,360516753273,67.01,67,,,,,si,,,,si,,si,,si,,si,si,no,4
bpa2019.6044,ESTANCIA DON CONSTANCIO,330519957400,184.41,184,,,,,si,si,,,si,,,,si,,si,si,no,4
bpa2019.6045,TC 38 - LOS OLIVARES,310609418329,1.81,1.81,,si,,si,,si,,,,si,,,,,no,si,si,4
bpa2019.6046,Tc 48 - Los Cerrillos,310241228362,21.09,17.8,si,,,si,,,,,,si,si,,,,no,si,si,4
bpa2019.6047,La Nueva Esperanza,170218106482,2814.47,420,,,,,si,,,,si,,si,si,,,si,si,si,4
bpa2019.6048,La Abicinia,190200900239,29.64,29.63,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6071,DON JUAN,150100680809,124.32,124.32,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6072,NIGRA,180402290631,45.41,45,,,,si,si,,,,,,si,,si,,si,si,no,4
bpa2019.6049,El Puestito,170218106482,2814.47,50,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6050,LA LOMA,220100759977,177.75,65,,,si,si,si,,,,si,,,,,,si,si,no,4
bpa2019.6051,La Nueva Esperanza,170218106482,2814.47,100,si,,,,si,,,,si,,si,,,,si,si,si,4
bpa2019.6052,La Nueva Esperanza,170218106482,2814.47,150,si,,,,si,,,,si,,si,,,,si,si,si,4
bpa2019.6053,LOS CUATRO HERMANOS,300303050454,3.95,3.94,si,,,si,si,,,,,,si,,,,si,si,si,4
bpa2019.6054,TC 38 - LOS OLIVARES,310611080700,1.32,1.32,,si,,si,,si,,,,si,,,,,no,si,si,4
bpa2019.6055,RIO DE LAS CHACRAS,350218635599,33.07,33,,,,si,si,,,,si,,,,si,,si,si,no,4
bpa2019.6056,La Invernada,150504324488,5,5,si,,si,,,si,,,,,si,,,,no,si,si,4
bpa2019.6057,EL LALO SA,300501471929,50.27,25,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6058,Los Nonos,300541028751,66.18,66.18,,,si,si,si,,,,,,,,si,,si,si,no,4
bpa2019.6059,FALCO,190102173736,18.12,18.12,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6060,Lote 1,310405081414,19.77,19.76,,,si,,si,,,,si,,,,si,,si,si,no,4
bpa2019.6061,Don Tito,340123053112,207.03,207,,,si,si,,,,,si,,si,,,,si,si,no,4
bpa2019.6062,EL CARMEN,130300601821,12.88,12.8,,,si,,si,,,,si,,,,si,,si,si,no,4
bpa2019.6063,2395,250101228441,112.57,88,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6064,ROSSO RUBEN B,330601854791,69.95,22.5,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6065,CASA PATERNA,300301508691,99.56,99.56,si,,si,si,,si,,,,,,,,,no,si,si,4
bpa2019.6066,LA INES,220302140073,377.77,377.77,si,,,si,si,,,,,,si,,,,si,si,si,4
bpa2019.6067,LOS PRIMOS,220116988992,118.43,118,si,,si,si,si,,,,,,,,,,si,si,si,4
bpa2019.6068,LA PELLEGRINA,360322512666,204.9,204.9,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6069,TC 38 - LOS OLIVARES,310620527661,2.2,2.2,,si,,si,,si,,,,si,,,,,no,si,si,4
bpa2019.6070,El Tipo,340140529988,0.08,0.08,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6073,DON RICARDO,300101619846,54.93,54.93,,,,si,si,,,,si,,,,si,,si,si,no,4
bpa2019.6074,Lote 1,310401714081,14.91,14.9,,,si,,si,,,,si,,,,si,,si,si,no,4
bpa2019.6075,DON RICARDO,300101629442,66.92,66.92,,,,si,si,,,,si,,,,si,,si,si,no,4
bpa2019.6076,El Polaco,130307381029,197.9,147,,,si,,si,,,,si,,,,si,,si,si,no,4
bpa2019.6077,MURINA,300441107599,75.85,75.85,,,si,si,si,,,,si,,,,,,si,si,no,4
bpa2019.6078,Isuardi,130307381029,197.9,50,,,si,,si,,,,si,,,,si,,si,si,no,4
bpa2019.6079,DON RUBEN,270801340528,39.48,39,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6080,Don Patricio,150409295071,171.26,171.26,,,,,,si,,,si,,si,,si,,si,si,no,4
bpa2019.6081,LOS NIÑOS,190102173663,18.3,18.29,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6082,El Ombu,190619659761,47.2,35,,,,,si,si,,,si,,,,si,,si,si,no,4
bpa2019.6083,El Abuelo,250205153892,32.76,32.76,,,si,,,si,,,si,,,,si,,si,si,no,4
bpa2019.6084,UM1,150109267769,250.15,250,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6085,EL CARMEN,130300601864,12.88,12.8,,,si,,si,,,,si,,,,si,,si,si,no,4
